Country:text,Losses CATDAT (million EUR):number,Losses CATDAT (million euros):number,Losses CATDAT /n(million euros):number,Insured losses CATDAT (million EUR):number,Insured losses CATDAT (million euros):number,Fatalities CATDAT:number,Losses NatCatSERVICE (million EUR):number,Losses NatCatSERVICES (million EUR):number,Losses NatCatSERVICES (million euros):number,Insured losses NatCatSERVICE (million EUR):number,Insured losses NatCatSERVICES (million EUR):number,Insured losses NatCatSERVICES (million euros):number,Fatalities NatCatSERVICE:number,Fatalities NatCatSERVICES:number
Austria,11353,,,2219,,702,15642,,,4964,,,762,
Belgium,2974,,,1364,,4642,5589,,,3322,,,2172,
Bulgaria,3798,,,70,,211,2969,,,156,,,209,
Croatia,2860,,,83,,896,3177,,,76,,,722,
Cyprus,381,,,7,,63,388,,,8,,,81,
Czechia,13888,,,1382,,1488,12230,,,3969,,,233,
Denmark,8137,,,4521,,279,11143,,,6568,,,49,
Estonia,246,,,36,,5,140,,,36,,,10,
Finland,2071,,,64,,2,2095,,,438,,,4,
France,98994,,,40239,,26775,71371,,,34734,,,23693,
Germany,107572,,,39775,,42394,110877,,,52979,,,11131,
Greece,10394,,,1603,,4618,7741,,,146,,,2567,
Hungary,5900,,,15,,870,6317,,,152,,,709,
Iceland,20,,,0,,2,89,,,48,,,52,
Ireland,2968,,,483,,62,4600,,,2395,,,71,
Italy,90061,,,5098,,21603,74834,,,4256,,,20834,
Latvia,971,,,52,,86,713,,,52,,,107,
Liechtenstein,1,,,0,,0,15,,,3,,,1,
Lithuania,1359,,,7,,70,1416,,,7,,,75,
Luxembourg,596,,,218,,170,1000,,,590,,,130,
Malta,50,,,0,,5,151,,,26,,,7,
Netherlands,9288,,,5086,,3919,9590,,,4664,,,1734,
Norway,1567,,,754,,31,3329,,,1794,,,59,
Poland,16050,,,1098,,2121,16205,,,1072,,,1271,
Portugal,13461,,,478,,9267,8094,,,664,,,3120,
Romania,13990,,,151,,1340,12555,,,67,,,1334,
Slovakia,1497,,,66,,103,1801,,,116,,,133,
Slovenia,3747,,,1603,,311,1872,,,228,,,246,
Spain,60976,,,2508,,16181,46438,,,11887,,,14709,
Sweden,3423,,,1047,,43,4321,,,1268,,,51,
Switzerland ,16396,,,6025,,2232,19909,,,10211,,,1352,
Turkey,4449,,,343,,1610,3742,,,504,,,1897,
 ,,,,,,,,,,,,,,
Total (EU-27),487005,,,109273,,138226,433269,,,134840,,,86164,
Total (EEA-32),509438,,,116395,,142101,460353,,,147400,,,89525,
